Source	OrgProfID	Lat	Long	SoilClass	HzDeIn	HzDeFn	TotFe2O3
RADAM_VOL_27	214	-19.4333	-54.9833	C_e_Ta_A_chern_Méd	10	40	1.9
RADAM_VOL_27	215	-19.4333	-55.3333	PL_a_Tb_plínt/méd	0	20	0.8
RADAM_VOL_27	215	-19.4333	-55.3333	PL_a_Tb_plínt/méd	60	80	2
RADAM_VOL_27	216	-19.5167	-55	LV_a_méd	100	130	3.7
RADAM_VOL_27	216	-19.5167	-55	LV_a_méd	0	15	2.7
RADAM_VOL_27	217	-19.5	-54.0333	Podzólico_Vermelho_Amarelo_Eutrófico_Ta_A_chern/méd	0	15	1.1
RADAM_VOL_27	217	-19.5	-54.0333	Podzólico_Vermelho_Amarelo_Eutrófico_Ta_A_chern/méd	80	120	2.7
RADAM_VOL_27	218	-19.6167	-54.05	LE_a_méd	50	90	4.3
RADAM_VOL_27	218	-19.6167	-54.05	LE_a_méd	0	20	3.7
RADAM_VOL_27	219	-19.7667	-54.6667	AQ_a	80	100	
RADAM_VOL_27	219	-19.7667	-54.6667	AQ_a	0	8	
RADAM_VOL_27	220	-19.7833	-54.7833	LE_a_méd	70	90	2.2
RADAM_VOL_27	221	-19.7667	-54.6833	AQ_a	60	80	2.9
RADAM_VOL_27	221	-19.7667	-54.6833	AQ_a	0	10	2.3
RADAM_VOL_27	222	-19.8	-55	LE_a_méd	100	140	2.6
RADAM_VOL_27	222	-19.8	-55	LE_a_méd	0	15	1.6
RADAM_VOL_27	223	-19.8833	-54.4333	LR_d_marg	50	100	30.4
RADAM_VOL_27	223	-19.8833	-54.4333	LR_d_marg	0	20	28.4
RADAM_VOL_27	224	-19.9167	-54.3333	Latossolo_Vermelho_Escuro_ÁLICO_A_moderado_Tetura_média_Relevo_suave_ondulado	0	12	3.9
RADAM_VOL_27	224	-19.9167	-54.3333	Latossolo_Vermelho_Escuro_ÁLICO_A_moderado_Tetura_média_Relevo_suave_ondulado	50	110	5.1
RADAM_VOL_28	1	-20.4333	-57.75	Solonetz_Solodizado_Salino_Textura_média/argilosa_Ta	0	14	1.3
RADAM_VOL_28	1	-20.4333	-57.75	Solonetz_Solodizado_Salino_Textura_média/argilosa_Ta	55	90	5.7
RADAM_VOL_28	2	-20.0833	-57.6333	Planossolo_Eutrófico_Textura_média/argilosa_Ta	0	10	2.3
RADAM_VOL_28	2	-20.0833	-57.6333	Planossolo_Eutrófico_Textura_média/argilosa_Ta	80	140	2.8
RADAM_VOL_28	3	-20.0833	-57.6333	Planossolo_Solódico_Eutrófico_c/_fragmentos_Textura_argilosa_Ta	60	100	4.2
RADAM_VOL_28	3	-20.0833	-57.6333	Planossolo_Solódico_Eutrófico_c/_fragmentos_Textura_argilosa_Ta	0	15	4.9
RADAM_VOL_28	4	-20.7167	-57.65	Solonetz_Solodizado_Textura_média_Ta	0	20	1
RADAM_VOL_28	4	-20.7167	-57.65	Solonetz_Solodizado_Textura_média_Ta	50	60	1.9
RADAM_VOL_28	5	-20.7	-57.4667	Areia_Quartzosa_Distrófica	80	100	0.4
RADAM_VOL_28	5	-20.7	-57.4667	Areia_Quartzosa_Distrófica	0	20	0.3
RADAM_VOL_28	6	-20.7167	-57.4333	Solonetz_Solodizado_c/_fragmentos_Textura_arenosa/média_Ta	60	80	1.6
RADAM_VOL_28	6	-20.7167	-57.4333	Solonetz_Solodizado_c/_fragmentos_Textura_arenosa/média_Ta	0	20	0.7
RADAM_VOL_28	7	-20.7167	-57.3833	Solonetz_Solodizado_c/_fragmentos_Textura_média_Ta	0	20	2.3
RADAM_VOL_28	7	-20.7167	-57.3833	Solonetz_Solodizado_c/_fragmentos_Textura_média_Ta	60	80	3.4
RADAM_VOL_28	8	-20.2	-57.4167		0	20	4.5
RADAM_VOL_28	8	-20.2	-57.4167		60	100	5.6
RADAM_VOL_28	9	-20.1333	-57.2167	Vertissolo_Carbonativo_A_moderado_Textura_argilosa	0	15	1.42
RADAM_VOL_28	9	-20.1333	-57.2167	Vertissolo_Carbonativo_A_moderado_Textura_argilosa	60	100	1.82
RADAM_VOL_28	10	-20.9167	-57.1833	Regossolo_Eutrófico_Textura_arenosa_Ta	80	100	0.7
RADAM_VOL_28	11	-20.9333	-57.1333		0	20	0.7
RADAM_VOL_28	11	-20.9333	-57.1333		60	80	3
RADAM_VOL_28	12	-20.9833	-57.1	Regossolo_Eutrófico_Textura_arenosa_Ta	80	100	1
RADAM_VOL_28	12	-20.9833	-57.1	Regossolo_Eutrófico_Textura_arenosa_Ta	0	30	0.6
RADAM_VOL_28	13	-20.5	-57.0167	Solonetz_Solodizado_c/_fragmentos_Textura_arenosa/média_Ta	0	20	0.6
RADAM_VOL_28	13	-20.5	-57.0167	Solonetz_Solodizado_c/_fragmentos_Textura_arenosa/média_Ta	60	80	2.3
